new_name,raw_column,set,raw_values,recoded_values,description
mask_outside,i12_health_1,reduced,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Worn a face mask outside home
avoid_large_gather,i12_health_14,reduced,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided large gatherings (>10)
avoid_crowds,i12_health_15,reduced,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided crowded areas
contacts_nonhh_cat,i2_health,reduced,"numeric count (heavy round-number heaping, e.g. 100/1000)","1=0, 2=1-3, 3=4-9, 4=10+",Non-household contacts within 2m
severity_cat,r1_1,reduced,"1-7 scale, leading-digit extraction","1=low(1-2), 2=medium(3-5), 3=high(6-7)",COVID perceived severity
govt_trust_cat,WCRex1,reduced,Very badly/Somewhat badly/Somewhat well/Very well,1=Very badly ... 4=Very well,Government handling rating
nhs_confidence_cat,WCRex2,reduced,No confidence/Not very much/Fair amount/A lot,1=No confidence ... 4=A lot,Confidence in NHS
wash_hands,i12_health_2,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Washed hands with soap and water
sanitiser,i12_health_3,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Used hand sanitiser
cover_cough,i12_health_4,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Covered nose/mouth when coughing
avoid_symptomatic,i12_health_5,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided contact with symptomatic people
avoid_guests,i12_health_11,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided having guests at home
avoid_small_gather,i12_health_12,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided small gatherings (<=2)
avoid_med_gather,i12_health_13,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided medium gatherings (3-10)
avoid_public_objects,i12_health_20,full,Always/Frequently/Sometimes/Rarely/Not at all,"2=Always/Frequently, 1=Sometimes/Rarely/Not at all",Avoided touching objects in public (coverage ends Dec 2020)
left_home_cat,i7a_health,full,numeric count,"1=0, 2=1, 3=2-3, 4=4+",Times left home yesterday (coverage ends Jul 2021)
likelihood_cat,r1_2,full,"1-7 scale, leading-digit extraction","1=low(1-2), 2=medium(3-5), 3=high(6-7)",Perceived likelihood of contracting COVID
willing_isolate_cat,i11_health,full,Very unwilling/Somewhat unwilling/Neither/Somewhat willing/Very willing,1=Very unwilling ... 5=Very willing,Willingness to self-isolate
