week_start,retail_recreation,workplaces
2020-07-06,-41.57142857142857,-37.142857142857146
2020-07-13,-34.714285714285715,-36.42857142857143
2020-07-20,-31,-37
2020-07-27,-28,-38
2020-08-03,-23.428571428571427,-37.57142857142857
2020-08-10,-21.428571428571427,-37.142857142857146
2020-08-17,-19.571428571428573,-35.57142857142857
2020-08-24,-14.571428571428571,-35.142857142857146
2020-08-31,-17.142857142857142,-36.142857142857146
2020-09-07,-20.857142857142858,-31.142857142857142
2020-09-14,-21.142857142857142,-28
2020-09-21,-24.285714285714285,-27.571428571428573
2020-09-28,-26.428571428571427,-26.857142857142858
2020-10-05,-26.714285714285715,-25.428571428571427
2020-10-12,-28.571428571428573,-26.714285714285715
2020-10-19,-29.428571428571427,-28.142857142857142
2020-10-26,-27.285714285714285,-34.57142857142857
2020-11-02,-39.14285714285714,-32.857142857142854
2020-11-09,-51,-35.57142857142857
2020-11-16,-50,-35
2020-11-23,-48.42857142857143,-33.857142857142854
2020-11-30,-36.57142857142857,-28.142857142857142
2020-12-07,-33,-27.142857142857142
2020-12-14,-32.57142857142857,-28.714285714285715
2020-12-21,-49.285714285714285,-55
2020-12-28,-58.285714285714285,-61.57142857142857
2021-01-04,-62.57142857142857,-44.42857142857143
2021-01-11,-64.42857142857143,-45.857142857142854
2021-01-18,-64.28571428571429,-45.857142857142854
2021-01-25,-62,-45
2021-02-01,-61.285714285714285,-44.142857142857146
2021-02-08,-60.57142857142857,-44.57142857142857
2021-02-15,-56.57142857142857,-44.714285714285715
2021-02-22,-53.714285714285715,-39.857142857142854
2021-03-01,-53.57142857142857,-39.142857142857146
2021-03-08,-52.857142857142854,-35.42857142857143
2021-03-15,-51.285714285714285,-34.57142857142857
2021-03-22,-50.57142857142857,-34.42857142857143
2021-03-29,-48.142857142857146,-40.714285714285715
2021-04-05,-48.714285714285715,-43.42857142857143
2021-04-12,-28.285714285714285,-33.857142857142854
2021-04-19,-29.285714285714285,-27.142857142857142
2021-04-26,-27.857142857142858,-27.285714285714285
2021-05-03,-30.857142857142858,-32.42857142857143
2021-05-10,-28.571428571428573,-25.857142857142858
2021-05-17,-21.714285714285715,-23.714285714285715
2021-05-24,-14.571428571428571,-23.714285714285715
2021-05-31,-9.428571428571429,-35.142857142857146
2021-06-07,-14.142857142857142,-21.714285714285715
2021-06-14,-15,-22
2021-06-21,-15,-22.714285714285715
2021-06-28,-14.857142857142858,-24.142857142857142
2021-07-05,-14.142857142857142,-23.857142857142858
2021-07-12,-14.571428571428571,-26
2021-07-19,-11.428571428571429,-28.142857142857142
2021-07-26,-8.571428571428571,-30.714285714285715
2021-08-02,-8.142857142857142,-31.714285714285715
2021-08-09,-6,-30.857142857142858
2021-08-16,-7.285714285714286,-30.428571428571427
2021-08-23,-3.5714285714285716,-30.285714285714285
2021-08-30,-5.285714285714286,-31.428571428571427
2021-09-06,-7.714285714285714,-23.285714285714285
2021-09-13,-8.714285714285714,-24.571428571428573
2021-09-20,-8.285714285714286,-23.428571428571427
2021-09-27,-11.714285714285714,-24.428571428571427
2021-10-04,-10.285714285714286,-23.571428571428573
2021-10-11,-10.285714285714286,-23.285714285714285
2021-10-18,-10.857142857142858,-24.428571428571427
2021-10-25,-5.714285714285714,-30.428571428571427
2021-11-01,-10.142857142857142,-22.714285714285715
2021-11-08,-10.142857142857142,-21.857142857142858
2021-11-15,-8.857142857142858,-21.714285714285715
2021-11-22,-9.142857142857142,-22.285714285714285
2021-11-29,-7.857142857142857,-22
2021-12-06,-8.571428571428571,-20.428571428571427
2021-12-13,-6.142857142857143,-22.142857142857142
2021-12-20,-19.142857142857142,-48.285714285714285
2021-12-27,-22.714285714285715,-58.714285714285715
2022-01-03,-25.285714285714285,-33.857142857142854
2022-01-10,-21.428571428571427,-23.285714285714285
2022-01-17,-19.571428571428573,-22.428571428571427
2022-01-24,-16.428571428571427,-21.857142857142858
2022-01-31,-15.857142857142858,-21.428571428571427
2022-02-07,-14.571428571428571,-21.428571428571427
2022-02-14,-16.857142857142858,-26.285714285714285
2022-02-21,-10.857142857142858,-24.428571428571427
