class,level,weighted_n,pct
1,18-24,427.2928861660001,4.009100558017467
1,25-34,1273.7240132010006,11.950790236420055
1,35-44,1329.9581934320006,12.478410729629417
1,45-54,1904.7298465990013,17.871239466191238
1,55-64,1983.0766106949968,18.606332574046288
1,65+,3739.291999883006,35.084126435695545
2,18-24,1262.2522029049978,11.331189630463914
2,25-34,2767.9074115200024,24.847398711064262
2,35-44,2121.645378339997,19.045929217029272
2,45-54,1789.673233528999,16.065828000942616
2,55-64,1551.7685946310035,13.930167178869073
2,65+,1646.3796796449983,14.779487261630859
3,18-24,2204.3794640389974,9.4183041549484
3,25-34,4979.785123973002,21.276341795495615
3,35-44,3845.232359789994,16.42891729929101
3,45-54,3891.679288744996,16.62736376057312
3,55-64,3421.2576519190075,14.617467493177365
3,65+,5062.93555041501,21.631605496514492
