class,level,weighted_n,pct
1,1,2403.092838061997,22.54715945422812
1,2,4862.949814618992,45.62691176615073
1,3,1650.3142044990004,15.48416978697542
1,4,1093.5074967569985,10.259898204206541
1,5,354.1220520299997,3.3225709164936053
1,6,112.39776199399999,1.0545785921533
1,7,30.705603126,0.28809712169859425
1,8+,31.236517349999996,0.2930784555344936
1,Not stated,119.74726153900004,1.1235357025592099
2,1,2064.228540396004,18.530500464179642
2,2,4054.7035396530077,36.398918217280716
2,3,2060.089066374999,18.493340564601382
2,4,1732.9650660229972,15.556760955444261
2,5,634.8638302420001,5.699148263269997
2,6,180.22639304900008,1.617885420483155
2,7,62.816777539,0.563903803559174
2,8+,61.012817016,0.5477097191084279
2,Not stated,288.72047027700006,2.5918325920732292
3,1,4601.4699870029945,19.659974430198176
3,2,9674.56340152999,41.33497982919407
3,3,4167.181329563016,17.80445783991046
3,4,2963.2633808800006,12.660667669808602
3,5,1037.3562133230012,4.4321481366915485
3,6,325.66238595500005,1.3914062677441656
3,7,115.63956673999996,0.4940749220681846
3,8+,79.613257664,0.3401509983548656
3,Not stated,440.5199162230002,1.8821399060299013
